단축코드,한글 종목명,한글 종목약명,
98120,(주)마이크로컨텍솔루션,마이크로컨텍솔,
9520,(주)포스코엠텍,포스코엠텍,
95570,AJ네트웍스보통주,AJ네트웍스,
6840,AK홀딩스보통주,AK홀딩스,
282330,BGF리테일보통주,BGF리테일,
27410,BGF보통주,BGF,
138930,BNK금융지주보통주,BNK금융지주,
1465,BYC1우선주,BYC우,
1460,BYC보통주,BYC,
1045,CJ1우선주,CJ우,
00104K,CJ4우선주(전환),CJ4우(전환),
1040,CJ보통주,CJ,
11155,CJ씨푸드1우선주,CJ씨푸드1우,
11150,CJ씨푸드보통주,CJ씨푸드,
58820,CMG제약,CMG제약,
590,CS홀딩스보통주,CS홀딩스,
12030,DB Inc.보통주,DB,
16610,DB금융투자보통주,DB금융투자,
5830,DB손해보험보통주,DB손해보험,
990,DB하이텍보통주,DB하이텍,
139130,DGB금융지주보통주,DGB금융지주,
1530,DI동일보통주,DI동일,
215,DL1우선주,DL우,
210,DL보통주,DL,
37550K,DL이앤씨1우선주,DL이앤씨우,
37550L,DL이앤씨2우선주(전환),DL이앤씨2우(전환),
375500,DL이앤씨보통주,DL이앤씨,
155660,DSR보통주,DSR,
69730,DSR제강보통주,DSR제강,
17860,DS단석보통주,DS단석,
17940,E1보통주,E1,
365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,
50120,ES큐브,ES큐브,
383220,F&F보통주,F&F,
7700,F&F홀딩스,F&F홀딩스,
78935,GS1우선주,GS우,
6360,GS건설보통주,GS건설,
78930,GS보통주,GS,
12630,HDC보통주,HDC,
294870,HDC현대산업개발보통주,HDC현대산업개발,
97230,HJ중공업보통주,HJ중공업,
14790,HL D&I보통주,HL D&I,
24850,HLB이노베이션,HLB이노베이션,
204320,HL만도보통주,HL만도,
60980,HL홀딩스보통주,HL홀딩스,
35000,HS애드보통주,HS애드,
3560,IHQ보통주,IHQ,
175330,JB금융지주보통주,JB금융지주,
234080,JW생명과학보통주,JW생명과학,
1065,JW중외제약1우선주,JW중외제약우,
1067,JW중외제약2우선주(신형),JW중외제약2우B,
1060,JW중외제약보통주,JW중외제약,
96760,JW홀딩스 보통주,JW홀딩스,
105560,KB금융지주 보통주,KB금융,
432320,KB스타리츠보통주,KB스타리츠,
24120,KB오토시스,KB오토시스,
9070,KCTC 보통주,KCTC,
44180,KD,KD,
3620,KG모빌리티보통주,KG모빌리티,
