단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,,5510.0
009520,(주)포스코엠텍,포스코엠텍,,17310.0
095570,AJ네트웍스보통주,AJ네트웍스,,4755.0
006840,AK홀딩스보통주,AK홀딩스,,13390.0
282330,BGF리테일보통주,BGF리테일,,112000.0
027410,BGF보통주,BGF,,3585.0
138930,BNK금융지주보통주,BNK금융지주,,9220.0
001465,BYC1우선주,BYC우,,12890.0
001460,BYC보통주,BYC,,33000.0
001045,CJ1우선주,CJ우,,58300.0
00104K,CJ4우선주(전환),CJ4우(전환),,80700.0
001040,CJ보통주,CJ,,108900.0
011155,CJ씨푸드1우선주,CJ씨푸드1우,,17640.0
011150,CJ씨푸드보통주,CJ씨푸드,,3230.0
058820,CMG제약,CMG제약,,2145.0
000590,CS홀딩스보통주,CS홀딩스,,68000.0
012030,DB Inc.보통주,DB,,1509.0
016610,DB금융투자보통주,DB금융투자,,5590.0
005830,DB손해보험보통주,DB손해보험,,113300.0
000990,DB하이텍보통주,DB하이텍,,40500.0
139130,DGB금융지주보통주,DGB금융지주,,8100.0
001530,DI동일보통주,DI동일,,39500.0
000215,DL1우선주,DL우,,24700.0
000210,DL보통주,DL,,43200.0
37550K,DL이앤씨1우선주,DL이앤씨우,,16210.0
37550L,DL이앤씨2우선주(전환),DL이앤씨2우(전환),,21300.0
375500,DL이앤씨보통주,DL이앤씨,,29350.0
155660,DSR보통주,DSR,,3915.0
069730,DSR제강보통주,DSR제강,,3665.0
017860,DS단석보통주,DS단석,,73300.0
017940,E1보통주,E1,,75900.0
365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,,4920.0
050120,ES큐브,ES큐브,,1808.0
383220,F&F보통주,F&F,,63400.0
007700,F&F홀딩스,F&F홀딩스,,13760.0
078935,GS1우선주,GS우,,38100.0
006360,GS건설보통주,GS건설,,18420.0
078930,GS보통주,GS,,42150.0
012630,HDC보통주,HDC,,11010.0
294870,HDC현대산업개발보통주,HDC현대산업개발,,22150.0
097230,HJ중공업보통주,HJ중공업,,2500.0
014790,HL D&I보통주,HL D&I,,2455.0
024850,HLB이노베이션,HLB이노베이션,,2775.0
204320,HL만도보통주,HL만도,,38350.0
060980,HL홀딩스보통주,HL홀딩스,,35150.0
035000,HS애드보통주,HS애드,,6430.0
003560,IHQ보통주,IHQ,,10760.0
175330,JB금융지주보통주,JB금융지주,,16250.0
234080,JW생명과학보통주,JW생명과학,,11120.0
001065,JW중외제약1우선주,JW중외제약우,,30300.0
001067,JW중외제약2우선주(신형),JW중외제약2우B,,59700.0
001060,JW중외제약보통주,JW중외제약,,27900.0
096760,JW홀딩스 보통주,JW홀딩스,,3055.0
105560,KB금융지주 보통주,KB금융,,91300.0
432320,KB스타리츠보통주,KB스타리츠,,4395.0
024120,KB오토시스,KB오토시스,,3735.0
009070,KCTC 보통주,KCTC,,4845.0
044180,KD,KD,,469.0
003620,KG모빌리티보통주,KG모빌리티,,5200.0
016380,KG스틸보통주,KG스틸,,6710.0
001390,KG케미칼보통주,KG케미칼,,4200.0
033180,KH 필룩스보통주,KH 필룩스,,6630.0
001940,KISCO홀딩스보통주,KISCO홀딩스,,19890.0
025000,KPX케미칼보통주,KPX케미칼,,49400.0
092230,KPX홀딩스보통주,KPX홀딩스,,56800.0
000040,KR모터스보통주,KR모터스,,528.0
093050,LF보통주,LF,,15360.0
003555,LG1우선주,LG우,,59600.0
034220,LG디스플레이보통주,LG디스플레이,,10490.0
003550,LG보통주,LG,,78200.0
051905,LG생활건강1우선주,LG생활건강우,,151700.0
051900,LG생활건강보통주,LG생활건강,,354000.0
373220,LG에너지솔루션보통주,LG에너지솔루션,,411000.0
032640,LG유플러스보통주,LG유플러스,,9740.0
011070,LG이노텍보통주,LG이노텍,,201500.0
066575,LG전자1우선주,LG전자우,,48650.0
066570,LG전자보통주,LG전자,,98500.0
051915,LG화학1우선주,LG화학우,,245000.0
051910,LG화학보통주,LG화학,,354500.0
079550,LIG넥스원보통주,LIG넥스원,,242500.0
010120,LS ELECTRIC보통주,LS ELECTRIC,,158000.0
