단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
98120,(주)마이크로컨텍솔루션,마이크로컨텍솔,,6950.0
9520,(주)포스코엠텍,포스코엠텍,,17900.0
95570,AJ네트웍스보통주,AJ네트웍스,,4400.0
6840,AK홀딩스보통주,AK홀딩스,,13400.0
282330,BGF리테일보통주,BGF리테일,,111600.0
27410,BGF보통주,BGF,,3625.0
138930,BNK금융지주보통주,BNK금융지주,,9440.0
1465,BYC1우선주,BYC우,,14230.0
1460,BYC보통주,BYC,,32150.0
1045,CJ1우선주,CJ우,,59000.0
00104K,CJ4우선주(전환),CJ4우(전환),,93000.0
1040,CJ보통주,CJ,,126500.0
11155,CJ씨푸드1우선주,CJ씨푸드1우,,20400.0
11150,CJ씨푸드보통주,CJ씨푸드,,3865.0
58820,CMG제약,CMG제약,,2255.0
590,CS홀딩스보통주,CS홀딩스,,67700.0
12030,DB Inc.보통주,DB,,1192.0
16610,DB금융투자보통주,DB금융투자,,4300.0
5830,DB손해보험보통주,DB손해보험,,104000.0
990,DB하이텍보통주,DB하이텍,,48700.0
139130,DGB금융지주보통주,DGB금융지주,,8100.0
1530,DI동일보통주,DI동일,,29850.0
215,DL1우선주,DL우,,26050.0
210,DL보통주,DL,,54500.0
37550K,DL이앤씨1우선주,DL이앤씨우,,16870.0
37550L,DL이앤씨2우선주(전환),DL이앤씨2우(전환),,22500.0
375500,DL이앤씨보통주,DL이앤씨,,32500.0
155660,DSR보통주,DSR,,4195.0
69730,DSR제강보통주,DSR제강,,4215.0
17860,DS단석보통주,DS단석,,85800.0
17940,E1보통주,E1,,73400.0
365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,,4950.0
50120,ES큐브,ES큐브,,1878.0
383220,F&F보통주,F&F,,55200.0
7700,F&F홀딩스,F&F홀딩스,,14150.0
78935,GS1우선주,GS우,,44800.0
6360,GS건설보통주,GS건설,,19050.0
78930,GS보통주,GS,,47500.0
12630,HDC보통주,HDC,,9800.0
