,날짜,종가,전일비,시가,고가,저가,거래량
0,,,,,,,
1,2024.02.29,179700.0,10300.0,189600.0,191300.0,179700.0,1318318.0
2,2024.02.28,190000.0,100.0,190200.0,193400.0,186500.0,816144.0
3,2024.02.27,190100.0,8600.0,182000.0,191400.0,181300.0,1624711.0
4,2024.02.26,181500.0,1500.0,182000.0,183200.0,180800.0,484919.0
5,2024.02.23,180000.0,3500.0,177200.0,184400.0,176800.0,824438.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2024.02.22,176500.0,500.0,177600.0,179600.0,175400.0,514715.0
10,2024.02.21,177000.0,2900.0,179900.0,180000.0,176900.0,550261.0
11,2024.02.20,179900.0,2500.0,182500.0,183000.0,179700.0,440423.0
12,2024.02.19,182400.0,200.0,182200.0,183800.0,181600.0,294585.0
13,2024.02.16,182200.0,400.0,184400.0,184500.0,182000.0,295225.0
14,,,,,,,
0,,,,,,,
1,2024.02.15,182600.0,1600.0,186100.0,186100.0,182600.0,358883.0
2,2024.02.14,184200.0,3300.0,184800.0,186000.0,182700.0,483049.0
3,2024.02.13,187500.0,7900.0,181600.0,188300.0,181400.0,933154.0
4,2024.02.08,179600.0,600.0,179600.0,182400.0,179200.0,643612.0
5,2024.02.07,179000.0,4000.0,184100.0,185500.0,178700.0,749892.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2024.02.06,183000.0,2100.0,181200.0,186200.0,181200.0,573943.0
10,2024.02.05,180900.0,3100.0,184000.0,184400.0,179500.0,512448.0
11,2024.02.02,184000.0,5300.0,178700.0,184000.0,178700.0,543741.0
12,2024.02.01,178700.0,1000.0,177700.0,179800.0,173700.0,626055.0
13,2024.01.31,179700.0,100.0,179600.0,181100.0,176100.0,456299.0
14,,,,,,,
0,,,,,,,
1,2024.01.30,179600.0,2100.0,184100.0,185100.0,179600.0,439604.0
2,2024.01.29,181700.0,500.0,184000.0,187500.0,181700.0,752905.0
3,2024.01.26,182200.0,200.0,180800.0,184200.0,179200.0,385387.0
4,2024.01.25,182000.0,1300.0,180400.0,183900.0,179000.0,468508.0
5,2024.01.24,180700.0,900.0,182900.0,183100.0,180500.0,296318.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2024.01.23,181600.0,2000.0,186100.0,188500.0,180800.0,651716.0
10,2024.01.22,183600.0,7600.0,178000.0,186300.0,177800.0,1060728.0
11,2024.01.19,176000.0,1300.0,175900.0,180900.0,174900.0,801175.0
12,2024.01.18,174700.0,3300.0,178000.0,179500.0,173700.0,807755.0
13,2024.01.17,178000.0,9500.0,186600.0,186700.0,177100.0,1280203.0
14,,,,,,,
0,,,,,,,
1,2024.01.16,187500.0,600.0,192400.0,194300.0,186000.0,1163432.0
2,2024.01.15,188100.0,8800.0,196500.0,199000.0,186300.0,1423409.0
3,2024.01.12,196900.0,8100.0,198200.0,205500.0,194600.0,1729666.0
4,2024.01.11,205000.0,1000.0,207000.0,209000.0,197700.0,1325154.0
5,2024.01.10,206000.0,0.0,206000.0,210000.0,205000.0,409471.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2024.01.09,206000.0,0.0,211000.0,214000.0,204000.0,617985.0
10,2024.01.08,206000.0,8500.0,213000.0,216000.0,204500.0,901789.0
11,2024.01.05,214500.0,3500.0,215000.0,220500.0,213000.0,970137.0
12,2024.01.04,218000.0,13500.0,228500.0,229000.0,214500.0,1593074.0
13,2024.01.03,231500.0,0.0,228500.0,233000.0,224000.0,1896462.0
14,,,,,,,
0,,,,,,,
1,2024.01.02,231500.0,30000.0,203500.0,241000.0,203500.0,5985174.0
2,2023.12.28,201500.0,11700.0,190100.0,202500.0,189200.0,1168768.0
3,2023.12.27,189800.0,1000.0,188800.0,190500.0,186200.0,504547.0
4,2023.12.26,188800.0,3300.0,187300.0,189800.0,187300.0,610597.0
5,2023.12.22,185500.0,2200.0,189300.0,191300.0,184800.0,694441.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.12.21,187700.0,1400.0,185100.0,189400.0,184800.0,565199.0
10,2023.12.20,186300.0,5600.0,183200.0,189300.0,181100.0,864375.0
11,2023.12.19,180700.0,3500.0,177000.0,181400.0,177000.0,426670.0
12,2023.12.18,177200.0,7100.0,176000.0,178800.0,174100.0,659264.0
13,2023.12.15,170100.0,13400.0,183800.0,184000.0,170100.0,1592029.0
14,,,,,,,
0,,,,,,,
1,2023.12.14,183500.0,3800.0,182700.0,184300.0,177700.0,2449173.0
2,2023.12.13,179700.0,3700.0,181600.0,183600.0,176200.0,869873.0
3,2023.12.12,183400.0,5700.0,178600.0,184900.0,177300.0,1329166.0
4,2023.12.11,177700.0,10000.0,169400.0,177900.0,168700.0,1198607.0
5,2023.12.08,167700.0,10100.0,158700.0,167900.0,158500.0,715247.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.12.07,157600.0,2500.0,159700.0,159800.0,157500.0,334778.0
10,2023.12.06,160100.0,2500.0,163000.0,163300.0,160100.0,277472.0
11,2023.12.05,162600.0,0.0,161700.0,163500.0,161700.0,251068.0
12,2023.12.04,162600.0,500.0,163900.0,164800.0,161600.0,228258.0
13,2023.12.01,163100.0,200.0,164000.0,164300.0,161900.0,239925.0
14,,,,,,,
0,,,,,,,
1,2023.11.30,162900.0,1200.0,161000.0,163000.0,160600.0,370771.0
2,2023.11.29,161700.0,3300.0,164000.0,164900.0,161600.0,296616.0
3,2023.11.28,165000.0,2200.0,162800.0,165500.0,162800.0,301166.0
4,2023.11.27,162800.0,5200.0,166700.0,167800.0,161600.0,457392.0
5,2023.11.24,168000.0,4900.0,173100.0,173200.0,167000.0,514846.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.11.23,172900.0,600.0,171500.0,173000.0,171100.0,311317.0
10,2023.11.22,172300.0,100.0,171900.0,172800.0,170000.0,374864.0
11,2023.11.21,172200.0,2300.0,169900.0,172200.0,169500.0,354688.0
12,2023.11.20,169900.0,1500.0,167900.0,170500.0,167500.0,368107.0
13,2023.11.17,168400.0,200.0,168800.0,169300.0,167100.0,402600.0
14,,,,,,,
0,,,,,,,
1,2023.11.16,168200.0,3200.0,166000.0,168200.0,165100.0,516886.0
2,2023.11.15,165000.0,5900.0,161200.0,165000.0,160300.0,637929.0
3,2023.11.14,159100.0,2300.0,157900.0,159500.0,157300.0,350954.0
4,2023.11.13,156800.0,400.0,157700.0,158400.0,155800.0,620970.0
5,2023.11.10,157200.0,800.0,157000.0,159100.0,156600.0,546992.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.11.09,158000.0,500.0,157800.0,159500.0,156000.0,701722.0
10,2023.11.08,157500.0,1900.0,156700.0,158700.0,155800.0,592520.0
11,2023.11.07,155600.0,2300.0,160300.0,161500.0,154000.0,1245249.0
12,2023.11.06,157900.0,8000.0,152200.0,157900.0,151500.0,1197662.0
13,2023.11.03,149900.0,100.0,149700.0,150100.0,149100.0,454326.0
14,,,,,,,
0,,,,,,,
1,2023.11.02,149800.0,400.0,149800.0,150000.0,149000.0,542480.0
2,2023.11.01,149400.0,100.0,149700.0,150000.0,149100.0,468825.0
3,2023.10.31,149500.0,200.0,150000.0,150500.0,148500.0,423138.0
4,2023.10.30,149300.0,200.0,149200.0,150300.0,149100.0,411392.0
5,2023.10.27,149500.0,200.0,150400.0,150500.0,148100.0,417382.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.10.26,149700.0,400.0,148900.0,150800.0,147400.0,534838.0
10,2023.10.25,150100.0,0.0,150500.0,151400.0,148800.0,663987.0
11,2023.10.24,150100.0,9500.0,142000.0,150500.0,141500.0,967992.0
12,2023.10.23,140600.0,1600.0,146000.0,147800.0,138500.0,921528.0
13,2023.10.20,142200.0,100.0,141700.0,143100.0,140400.0,364869.0
14,,,,,,,
0,,,,,,,
1,2023.10.19,142300.0,0.0,141500.0,145300.0,141000.0,316339.0
2,2023.10.18,142300.0,2700.0,145300.0,146100.0,142000.0,246276.0
3,2023.10.17,145000.0,500.0,145100.0,147400.0,144800.0,261280.0
4,2023.10.16,144500.0,600.0,143700.0,145300.0,143400.0,317837.0
5,2023.10.13,143900.0,200.0,142400.0,144700.0,141500.0,246252.0
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,2023.10.12,144100.0,3200.0,141500.0,144100.0,141200.0,386909.0
10,2023.10.11,140900.0,700.0,141100.0,142600.0,140000.0,224905.0
11,2023.10.10,140200.0,3200.0,139800.0,143800.0,139600.0,434998.0
12,2023.10.06,137000.0,5200.0,131200.0,138400.0,131100.0,404988.0
13,2023.10.05,131800.0,4100.0,136000.0,138000.0,131000.0,497887.0
14,,,,,,,
